JINA_ID,Ref,Name,Simbad_Identifier,Fe/H,C/H
776,COH13,HE2148-1247,2MASS_J21511791-1233417,'-2.3,'-0.39
777,MAS12,CS22948-104,2MASS_J21514574-3752308,'-2.81,'-2.38
779,BAR05,HE2151-2858,2MASS_J21540157-2844199,'-2.38,'-2.32
780,REN12,HE2151-2858,2MASS_J21540157-2844199,'-2.38,'-2.16
781,BAR05,HE2153-2719,2MASS_J21560407-2704497,'-2.49,'-2.41
782,REN12,HE2153-2719,2MASS_J21560407-2704497,'-2.49,'-2.25
783,LAI07,CS22965-016,2MASS_J21570791-0434083,'-2.59,'-3.16
784,ROE14b,CS22965-016,2MASS_J21570791-0434083,'-3.13,'-3.61
785,BAR05,HE2155+0136,2MASS_J21573755+0150201,'-2.07,'-2.11
789,CAY04,CS22956-050,2MASS_J21580583-6513271,'-3.32,'-2.97
790,ROE14b,CS22956-050,2MASS_J21580583-6513271,'-3.67,'-3.41
793,BAR05,HE2156-3130,2MASS_J21590577-3116121,'-3.13,'-2.43
794,MAS12,CS29493-090,2MASS_J21590577-3116121,'-3.3,'-2.48
795,SPI14,CS29493-090,2MASS_J21590577-3116121,'-3.14,'-2.25
796,COH06,HE2158-0348,2MASS_J22003997-0334121,'-2.75,'-0.67
797,COH13,HE2158-0348,2MASS_J22003997-0334121,'-2.66,'-0.76
798,BAR05,HE2158-3112,2MASS_J22012150-3057575,'-2.74,'-2.82
799,BAR05,CS30337-097,2MASS_J22012150-3057575,'-2.73,'-2.79
800,REN12,CS30337-097,2MASS_J22012150-3057575,'-2.75,'-2.67
801,HAN15,HE2159-0551,2MASS_J22021636-0536483,'-2.81,'-3.05
802,BAR05,HE2200-2030,2MASS_J22030253-2015584,'-2.0,'-1.94
803,BAR05,HE2201-0637,2MASS_J22034474-0622416,'-2.59,'-2.5
806,CAY04,BS17569-049,2MASS_J22045836+0401321,'-2.85,'-2.91
809,BAR05,HE2204-1703,2MASS_J22071190-1649106,'-2.79,'-2.62
810,PRE01,CS22881-036,2MASS_J22075843-4044164,'-2.05,0.0
811,ROE14b,CS22881-036,2MASS_J22075843-4044164,'-2.34,'-0.38
812,BAR05,HE2206-2245,2MASS_J22090942-2230161,'-2.73,'-2.56
813,AOK07a,CS22960-053,2MASS_J22161708-4354197,'-3.19,'-1.13
814,ROE14b,CS22960-053,2MASS_J22161708-4354197,'-3.64,'-2.24
815,ROE14b,CS22960-048,2MASS_J22170156-4512169,'-3.91,'-3.44
818,BAR05,CS22892-052,2MASS_J22170165-1639271,'-2.95,'-1.99
819,CAY04,CS22892-052,2MASS_J22170165-1639271,'-3.04,'-2.05
820,HON04,CS22892-052,2MASS_J22170165-1639271,'-2.91,'-1.88
821,LAI07,CS22892-052,2MASS_J22170165-1639271,'-2.99,'-1.86
822,MCW95,CS22892-052,2MASS_J22170165-1639271,'-3.02,'-1.93
823,NOR97b,CS22892-052,2MASS_J22170165-1639271,'-2.97,'-1.63
824,REN12,CS22892-052,2MASS_J22170165-1639271,'-2.95,'-1.83
826,ROE14b,CS22892-052,2MASS_J22170165-1639271,'-3.24,'-2.32
828,SNE03,CS22892-052,2MASS_J22170165-1639271,'-3.1,'-2.13
831,BAR05,HE2216-0621,2MASS_J22184594-0606501,'-3.23,'-3.93
833,BAR05,HE2217-0706,2MASS_J22201799-0651164,'-2.58,'-3.16
834,AOK05,CS22886-042,2MASS_J22202581-1023201,'-2.55,'-2.63
835,AOK07a,CS22886-042,2MASS_J22202581-1023201,'-2.66,'-2.53
836,BAR05,CS22886-042,2MASS_J22202581-1023201,'-2.68,'-2.71
837,REN12,CS22886-042,2MASS_J22202581-1023201,'-2.68,'-2.55
838,BAR05,HE2217-1523,2MASS_J22203372-1508346,'-2.62,'-2.63
841,AOK05,CS29516-041,2MASS_J22214882+0228448,'-2.97,'-2.93
